Date,Country,Development,BondYield,CBPR,TotalPrices,Prices,Earnings,PE
1994-12-31,netherlands,DM,7.777,,,,,
1994-12-31,italy,DM,12.402,,,,,
1994-12-31,belgium,DM,8.359,,,,,
1994-12-31,austria,DM,7.723,,,,,
1994-12-31,ireland,DM,8.966,,,,,
1994-12-31,new zealand,DM,8.49,,,,,
1995-06-30,united states,DM,6.203,6.0,,513.16,31.82,16.126964173475802
1995-06-30,japan,DM,2.785,,,721.17,8.81,81.85811577752553
1995-06-30,united kingdom,DM,8.45,6.625,,1002.57,62.43,16.059106198942818
1995-06-30,canada,DM,7.93,7.19,,492.39,28.66,17.180390788555478
1995-06-30,australia,DM,9.21,7.5,,433.57,26.46,16.385865457294027
1995-06-30,switzerland,DM,4.741,,,358.39,26.93,13.308206461195692
1995-06-30,france,DM,7.63,,,46.84,2.25,20.817777777777778
1995-06-30,germany,DM,6.9399999999999995,,,45.6,1.8,25.333333333333332
1995-06-30,spain,DM,11.784,,,30.79,2.46,12.516260162601625
1995-06-30,sweden,DM,11.01,8.66,,2218.28,165.58,13.39702862664573
1995-06-30,netherlands,DM,7.037,,,41.32,3.2800000000000002,12.597560975609754
1995-06-30,italy,DM,12.641,,,43.51,0.95,45.8
1995-06-30,belgium,DM,7.572,,,38.97,2.91,13.391752577319586
1995-06-30,austria,DM,7.252,,,92.43,0.25,369.72
1995-06-30,ireland,DM,8.818,,,44.47,0.79,56.291139240506325
1995-06-30,new zealand,DM,7.63,,,109.61,7.6899999999999995,14.253576072821847
1995-12-31,united states,DM,5.572,5.5,,581.07,33.54,17.324686940966014
1995-12-31,japan,DM,3.07,,,959.36,8.83,108.64779161947905
1995-12-31,united kingdom,DM,7.415,6.375,,1107.48,61.3,18.066557911908646
1995-12-31,canada,DM,7.08,5.78,,509.5,31.3,16.277955271565496
1995-12-31,australia,DM,8.22,7.5,,458.07,27.61,16.590727997102498
1995-12-31,switzerland,DM,3.857,,,417.79,27.81,15.023013304566705
1995-12-31,france,DM,6.632,,,47.38,2.32,20.422413793103452
1995-12-31,germany,DM,6.031,,,48.52,1.92,25.270833333333336
1995-12-31,spain,DM,9.702,,,34.48,2.46,14.016260162601625
1995-12-31,sweden,DM,8.447,8.91,,2300.42,162.76,14.133816662570657
1995-12-31,netherlands,DM,6.028,,,46.57,3.3,14.112121212121213
1995-12-31,italy,DM,10.868,,,43.02,1.4,30.72857142857143
1995-12-31,belgium,DM,6.687,,,43.12,2.9,14.86896551724138
1995-12-31,austria,DM,6.364,,,83.73,0.23,364.04347826086956
1995-12-31,ireland,DM,7.487,,,47.93,0.75,63.906666666666666
1995-12-31,new zealand,DM,7.23,,,115.02,7.8100000000000005,14.727272727272727
1996-06-30,united states,DM,6.711,5.25,,637.35,33.52,19.014021479713602
1996-06-30,japan,DM,3.23,,,1028.74,8.83,116.50509626274065
1996-06-30,united kingdom,DM,7.892,5.75,,1117.55,76.16,14.673713235294118
1996-06-30,canada,DM,7.7,4.75,,552.86,29.28,18.881830601092897
1996-06-30,australia,DM,8.79,7.5,,454.85,25.49,17.844252648097296
1996-06-30,switzerland,DM,4.37,,,470.39,28.44,16.539732770745427
1996-06-30,france,DM,6.494,,,54.99,1.01,54.445544554455445
1996-06-30,germany,DM,6.505,,,53.58,1.98,27.06060606060606
1996-06-30,spain,DM,8.818999999999999,,,40.93,2.88,14.211805555555555
1996-06-30,sweden,DM,8.397,6.1,,2623.99,210.32,12.47617915557246
1996-06-30,netherlands,DM,6.436,,,54.62,3.48,15.695402298850574
1996-06-30,italy,DM,9.413,,,46.55,2.82,16.50709219858156
1996-06-30,belgium,DM,6.77,,,46.71,3.09,15.116504854368934
1996-06-30,philippines,EM,16.471,11.875,,835.55,36.62,22.816766794101586
1996-06-30,austria,DM,6.57,,,92.23,0.54,170.7962962962963
1996-06-30,ireland,DM,7.622,,,55.33,5.05,10.956435643564356
1996-06-30,new zealand,DM,8.7,,,109.82,7.31,15.023255813953488
1996-12-31,united states,DM,6.418,5.25,,705.16,37.88,18.6156282998944
1996-12-31,japan,DM,2.765,,,906.92,9.21,98.47122692725297
1996-12-31,united kingdom,DM,7.5120000000000005,6.0,,1239.03,82.55,15.009448818897638
1996-12-31,canada,DM,6.41,3.0,,647.02,32.08,20.168952618453865
1996-12-31,australia,DM,7.319,6.0,,486.56,27.69,17.57168652943301
1996-12-31,switzerland,DM,3.863,,,493.57,10.79,45.743280815569975
1996-12-31,france,DM,5.746,,,60.12,2.65,22.68679245283019
1996-12-31,germany,DM,5.779,,,58.57,2.61,22.440613026819925
1996-12-31,spain,DM,6.809,,,50.44,3.0,16.813333333333333
1996-12-31,sweden,DM,6.853,4.1,,3208.55,227.0,14.134581497797358
1996-12-31,netherlands,DM,5.674,,,62.58,3.48,17.982758620689655
1996-12-31,italy,DM,7.541,,,45.71,3.15,14.511111111111111
1996-12-31,belgium,DM,5.875,,,50.61,3.11,16.273311897106108
1996-12-31,philippines,EM,15.835,10.75,,794.42,43.44,18.287753222836095
1996-12-31,austria,DM,5.827,,,93.05,0.56,166.16071428571428
1996-12-31,ireland,DM,6.686,,,58.46,4.42,13.226244343891404
1996-12-31,new zealand,DM,7.2,,,120.81,7.42,16.28167115902965
1997-06-30,united states,DM,6.5,5.5,,846.46,39.07,21.665216278474535
1997-06-30,japan,DM,2.6390000000000002,,,972.11,18.58,52.32023681377826
1997-06-30,united kingdom,DM,7.078,6.5,,1370.67,81.36,16.84697640117994
1997-06-30,canada,DM,6.34,3.25,,721.04,33.75,21.364148148148146
1997-06-30,australia,DM,7.055,5.5,,541.29,22.89,23.647444298820442
1997-06-30,switzerland,DM,3.341,,,700.9,10.89,64.36179981634527
1997-06-30,france,DM,5.586,,,73.64,2.99,24.62876254180602
1997-06-30,germany,DM,5.707,,,76.88,2.68,28.686567164179102
1997-06-30,spain,DM,6.371,,,68.16,3.0,22.72
1997-06-30,sweden,DM,6.642,4.1,,4138.71,232.91,17.769567644154396
1997-06-30,netherlands,DM,5.611,,,84.28,3.79,22.23746701846966
1997-06-30,south africa,EM,14.55,,,218.09,19.02,11.466351209253418
1997-06-30,italy,DM,6.837,,,56.46,3.2,17.64375
1997-06-30,belgium,DM,5.78,,,63.03,3.93,16.0381679389313
1997-06-30,philippines,EM,14.741,15.0,,699.36,42.33,16.52161587526577
1997-06-30,austria,DM,5.746,,,101.77,0.49,207.6938775510204
1997-06-30,ireland,DM,6.539,,,67.83,4.46,15.208520179372197
1997-06-30,new zealand,DM,6.95,,,130.92,4.82,27.161825726141075
1997-12-31,united states,DM,5.742,5.5,,928.91,41.33,22.475441567868376
1997-12-31,japan,DM,1.94,,3083.327,770.46,18.28,42.147702407002186
